wgEncodeHaibTfbsA549Atf3V0422111Etoh02AlnRep1	28406098	0.1	0.09	0.08	2563560	132	0.79
wgEncodeHaibTfbsA549Atf3V0422111Etoh02AlnRep2	37810737	0.06	0.07	0.06	2595089	120	0.73
wgEncodeHaibTfbsA549Bcl3V0422111Etoh02AlnRep1	25234743	0.16	0.11	0.1	2859139	140	0.72
wgEncodeHaibTfbsA549Bcl3V0422111Etoh02AlnRep2	39993809	0.05	0.1	0.09	3867914	104	0.68
wgEncodeHaibTfbsA549Creb1sc240Pcr1xEtoh02AlnRep1	10863067	0.31	0.29	0.2	3133805	124	2.54
wgEncodeHaibTfbsA549Creb1sc240V0416102Dex100nmAlnRep1	10799672	0.53	0.47	0.22	5102768	123	1.68
wgEncodeHaibTfbsA549Creb1sc240V0416102Dex100nmAlnRep2	12497340	0.17	0.22	0.18	2791660	107	1.46
wgEncodeHaibTfbsA549Creb1sc240V0416102Etoh02AlnRep2	13782062	0.17	0.22	0.18	3024488	114	1.48
wgEncodeHaibTfbsA549Ctcfsc5916Pcr1xDex100nmAlnRep1	20365383	0.32	0.28	0.19	5621558	107	1.8
wgEncodeHaibTfbsA549Ctcfsc5916Pcr1xDex100nmAlnRep2	8592240	0.55	0.3	0.14	2597154	113	1.64
wgEncodeHaibTfbsA549Ctcfsc5916Pcr1xEtoh02AlnRep1	20380028	0.27	0.22	0.16	4512428	128	1.85
wgEncodeHaibTfbsA549Ctcfsc5916Pcr1xEtoh02AlnRep2	8270689	0.53	0.44	0.21	3647304	105	2.03
wgEncodeHaibTfbsA549Elf1V0422111Etoh02AlnRep1	36085964	0.08	0.06	0.06	2188374	100	0.61
wgEncodeHaibTfbsA549Elf1V0422111Etoh02AlnRep2	31824991	0.06	0.09	0.08	2861169	108	0.88
wgEncodeHaibTfbsA549Ets1V0422111Etoh02AlnRep1	20010845	0.1	0.1	0.09	2051591	116	0.8
wgEncodeHaibTfbsA549Ets1V0422111Etoh02AlnRep2	37450101	0.04	0.07	0.06	2434463	103	0.56
wgEncodeHaibTfbsA549Fosl2V0422111Etoh02AlnRep1	33636261	0.08	0.09	0.09	3192573	110	1.17
wgEncodeHaibTfbsA549Fosl2V0422111Etoh02AlnRep2	28138464	0.14	0.15	0.13	4317635	150	1.56
wgEncodeHaibTfbsA549Foxa1V0416102Dex100nmAlnRep1	17521289	0.2	0.25	0.2	4308808	131	1.8
wgEncodeHaibTfbsA549Foxa1V0416102Dex100nmAlnRep2	14304287	0.11	0.25	0.22	3527997	118	1.68
wgEncodeHaibTfbsA549Foxa1V0416102Etoh02AlnRep1	17243370	0.2	0.26	0.21	4475914	141	1.86
wgEncodeHaibTfbsA549Foxa1V0416102Etoh02AlnRep2	13827372	0.19	0.31	0.25	4233490	124	1.75
wgEncodeHaibTfbsA549Foxa2V0416102Etoh02AlnRep1	6596591	0.71	0.4	0.12	2619685	140	2.22
wgEncodeHaibTfbsA549Foxa2V0416102Etoh02AlnRep2	11035148	0.19	0.29	0.23	3198989	111	1.73
wgEncodeHaibTfbsA549GabpV0422111Etoh02AlnRep1	31422758	0.14	0.09	0.08	2952530	150	1.21
wgEncodeHaibTfbsA549GabpV0422111Etoh02AlnRep2	32635663	0.1	0.09	0.08	2853952	138	1.18
