chromosome	# hits-treatment	# redundant-hits-removed-treatment	duplication-rate-treatment	# hits-control	# redundant-hits-removed-control	duplication-rate-control	# q-hits-treatment-expected	# q-hits-treatment-observed	q-enrichment-score (QES)	q-sample-score (QSS)	estimated number signal hits (ENSH)	average fragment length	relative strand correlation (RSC)
chr10	629280	204215	0.25	1200894	130299	0.10	130323	332747	0.32	0.24	152828	NA	NA
chr11	652851	218064	0.25	1062193	109137	0.09	140302	370776	0.35	0.26	172767	NA	NA
chr12	669932	218422	0.25	1242437	129717	0.09	148341	368444	0.33	0.25	165986	NA	NA
chr13	230076	69088	0.23	693714	72399	0.09	21853	95008	0.32	0.24	56261	NA	NA
chr14	353179	108423	0.23	675817	69196	0.09	53561	182430	0.36	0.28	98600	NA	NA
chr15	334986	102082	0.23	598881	59903	0.09	50298	172781	0.37	0.28	93876	NA	NA
chr16	507975	157385	0.24	557966	54309	0.09	124741	315792	0.38	0.29	145859	NA	NA
chr17	758068	267784	0.26	806435	79823	0.09	283000	502812	0.29	0.21	162433	NA	NA
chr18	194823	57411	0.23	512529	54778	0.10	22737	82527	0.31	0.24	46181	NA	NA
chr19	602685	191918	0.24	381797	40458	0.10	240463	425485	0.31	0.23	140335	NA	NA
chr1	1255849	436992	0.26	2073512	237266	0.10	278413	711573	0.34	0.26	321344	NA	NA
chr20	326517	100782	0.24	439277	42797	0.09	74256	190742	0.36	0.27	89012	NA	NA
chr21	90344	25874	0.22	178543	18030	0.09	8126	42990	0.39	0.30	27102	NA	NA
chr22	249739	74910	0.23	237676	21714	0.08	53975	153150	0.40	0.31	76291	NA	NA
chr2	1000202	315539	0.24	2200886	231980	0.10	186029	491769	0.31	0.23	232418	NA	NA
chr3	789369	249845	0.24	1769776	185345	0.09	142684	388647	0.31	0.24	186830	NA	NA
chr4	599382	184047	0.23	1803171	193985	0.10	87210	261189	0.29	0.22	133107	NA	NA
chr5	613634	192547	0.24	1493596	157821	0.10	95469	293602	0.32	0.25	150811	NA	NA
chr6	740710	248251	0.25	1618513	173226	0.10	143918	388297	0.33	0.25	183035	NA	NA
chr7	648503	200290	0.24	1347337	143955	0.10	119471	329486	0.32	0.25	160458	NA	NA
chr8	632807	204327	0.24	1471276	161458	0.10	123386	328049	0.32	0.24	154709	NA	NA
chr9	508338	157976	0.24	891467	90012	0.09	83337	273034	0.37	0.28	144722	NA	NA
chrM	4755	3363	0.41	20568	177148	0.90	4755	4491	0.00	0.00	0	NA	NA
chrX	252605	74188	0.23	563542	58231	0.09	19811	106686	0.34	0.27	67152	NA	NA
chrY	3830	1196	0.24	11924	2093	0.15	12	633	0.16	0.12	473	NA	NA
Hct116Pol24h8Rep1	12650439	4064919	0.24	23853727	2695080	0.10	2336287	6813140	0.35	0.27	4476853	130	1.33
